word	source	ipa	segments	n_segments	freq	n_utts	n_speakers
कृष्णमन्दिरबाट	slr54	kɾɪʂɳəməndɪɾəbaːʈ	k ɾ ɪ ʂ ɳ ə m ə n d ɪ ɾ ə b aː ʈ	16	2	2	2
कृष्णमायाको	slr54	kɾɪʂɳəmaːjaːkoː	k ɾ ɪ ʂ ɳ ə m aː j aː k oː	12	2	2	2
कृष्णमोहन	slr54	kɾɪʂɳəmoːhən	k ɾ ɪ ʂ ɳ ə m oː h ə n	11	2	2	2
कृष्णले	slr54	kɾɪʂɳəleː	k ɾ ɪ ʂ ɳ ə l eː	8	2	2	2
कृष्णसम्म	slr54	kɾɪʂɳəsʌmmə	k ɾ ɪ ʂ ɳ ə s ʌ m m ə	11	2	2	2
कृष्णहरि	slr54	kɾɪʂɳəhəɾɪ	k ɾ ɪ ʂ ɳ ə h ə ɾ ɪ	10	2	2	2
केएल	slr54	keːeːl	k eː eː l	4	2	2	2
केजरीवाल	slr54	keːɟəɾɪːwaːl	k eː ɟ ə ɾ ɪː w aː l	9	2	2	2
केजरीवालका	slr54	keːɟəɾɪːwaːləkaː	k eː ɟ ə ɾ ɪː w aː l ə k aː	12	2	2	2
केजी	slr54	keːɟi	k eː ɟ i	4	2	2	2
केटको	slr54	keːʈəkoː	k eː ʈ ə k oː	6	2	2	2
केटाकेटीले	slr54	keːʈaːkeːʈɪːleː	k eː ʈ aː k eː ʈ ɪː l eː	10	2	2	2
केटाहरू	slr54	keːʈaːhəɾuː	k eː ʈ aː h ə ɾ uː	8	2	2	2
केटीले	slr54	keːʈɪːleː	k eː ʈ ɪː l eː	6	2	2	2
केटीहरूको	slr54	keːʈɪːhəɾuːkoː	k eː ʈ ɪː h ə ɾ uː k oː	10	2	2	2
केटीहरूलाई	slr54	keːʈɪːhəɾuːlaːi	k eː ʈ ɪː h ə ɾ uː l aː i	11	2	2	2
केदारेश्वर	slr54	keːdaːɾeːʃwɾʌ	k eː d aː ɾ eː ʃ w ɾ ʌ	10	2	2	2
केनिया	slr54	keːnɪjaː	k eː n ɪ j aː	6	2	2	2
केनेथ	slr54	keːneːtʰ	k eː n eː tʰ	5	2	2	2
केन्द्रले	slr54	keːndɾəleː	k eː n d ɾ ə l eː	8	2	2	2
केन्द्रहरूमा	slr54	keːndɾəhəɾuːmaː	k eː n d ɾ ə h ə ɾ uː m aː	12	2	2	2
केन्द्रीकृत	slr54	keːndɾɪːkɾɪt	k eː n d ɾ ɪː k ɾ ɪ t	10	2	2	2
केन्नर	slr54	keːnnəɾə	k eː n n ə ɾ ə	7	2	2	2
केन्या	slr54	keːnjaː	k eː n j aː	5	2	2	2
केबल्स	slr54	keːbʌlsə	k eː b ʌ l s ə	7	2	2	2
केबुल	slr54	keːbul	k eː b u l	5	2	2	2
केभ	slr54	keːbʰ	k eː bʰ	3	2	2	2
केमद्रुम	slr54	keːmʌdɾumə	k eː m ʌ d ɾ u m ə	9	2	2	2
केमेस्ट्रीको	slr54	keːmeːsʈɾɪːkoː	k eː m eː s ʈ ɾ ɪː k oː	10	2	2	2
केयसँग	slr54	keːjəʃʌ̃ɡ	k eː j ə ʃ ʌ̃ ɡ	7	2	2	2
केरकार	slr54	keːɾəkaːɾə	k eː ɾ ə k aː ɾ ə	8	2	2	2
केरलमै	slr54	keːɾələmɛː	k eː ɾ ə l ə m ɛː	8	2	2	2
केरूङ	slr54	keːɾuːŋ	k eː ɾ uː ŋ	5	2	2	2
केरौजा	slr54	keːɾɔːɟaː	k eː ɾ ɔː ɟ aː	6	2	2	2
केशवटार	slr54	keːʃəwəʈaːɾə	k eː ʃ ə w ə ʈ aː ɾ ə	10	2	2	2
केसरिया	slr54	keːsəɾɪjaː	k eː s ə ɾ ɪ j aː	8	2	2	2
केसीका	slr54	keːsɪːkaː	k eː s ɪː k aː	6	2	2	2
केहीको	slr54	keːhɪːkoː	k eː h ɪː k oː	6	2	2	2
कैचीबाट	slr54	kɛːcɪːbaːʈ	k ɛː c ɪː b aː ʈ	7	2	2	2
कैदिहरूलाई	slr54	kɛːdɪhəɾuːlaːi	k ɛː d ɪ h ə ɾ uː l aː i	11	2	2	2
कैदीको	slr54	kɛːdɪːkoː	k ɛː d ɪː k oː	6	2	2	2
कैमरूनको	slr54	kɛːməɾuːnəkoː	k ɛː m ə ɾ uː n ə k oː	10	2	2	2
कैलाशकूट	slr54	kɛːlaːʃəkuːʈ	k ɛː l aː ʃ ə k uː ʈ	9	2	2	2
कैलाशधाम	slr54	kɛːlaːʃədʰaːmə	k ɛː l aː ʃ ə dʰ aː m ə	10	2	2	2
कैलेडन	slr54	kɛːleːɖən	k ɛː l eː ɖ ə n	7	2	2	2
कोंकण	slr54	koːŋkəɳ	k oː ŋ k ə ɳ	6	2	2	2
कोअली	slr54	koːəliː	k oː ə l iː	5	2	2	2
कोइलीको	slr54	koːɪlɪːkoː	k oː ɪ l ɪː k oː	7	2	2	2
कोकाकोला	slr54	koːkaːkoːlaː	k oː k aː k oː l aː	8	2	2	2
कोकिन	slr54	koːkɪn	k oː k ɪ n	5	2	2	2
कोखकी	slr54	koːkʰəkiː	k oː kʰ ə k iː	6	2	2	2
कोखाजोर	slr54	koːkʰaːɟoːɾə	k oː kʰ aː ɟ oː ɾ ə	8	2	2	2
कोगन	slr54	koːɡən	k oː ɡ ə n	5	2	2	2
कोचिङ	slr54	koːcɪŋ	k oː c ɪ ŋ	5	2	2	2
कोजाग्रत	slr54	koːɟaːɡɾət	k oː ɟ aː ɡ ɾ ə t	8	2	2	2
कोटाबाट	slr54	koːʈaːbaːʈ	k oː ʈ aː b aː ʈ	7	2	2	2
कोटामा	slr54	koːʈaːmaː	k oː ʈ aː m aː	6	2	2	2
कोटिकरमा	slr54	koːʈɪkəɾəmaː	k oː ʈ ɪ k ə ɾ ə m aː	10	2	2	2
कोटिका	slr54	koːʈɪkaː	k oː ʈ ɪ k aː	6	2	2	2
कोटी	slr54	koːʈi	k oː ʈ i	4	2	2	2
कोटीहोममा	slr54	koːʈɪːhoːməmaː	k oː ʈ ɪː h oː m ə m aː	10	2	2	2
कोट्सीले	slr54	koːʈsɪːleː	k oː ʈ s ɪː l eː	7	2	2	2
कोडमा	slr54	koːɖəmaː	k oː ɖ ə m aː	6	2	2	2
कोडलाई	slr54	koːɖəlaːi	k oː ɖ ə l aː i	7	2	2	2
कोणबाट	slr54	koːɳəbaːʈ	k oː ɳ ə b aː ʈ	7	2	2	2
कोणमा	slr54	koːɳəmaː	k oː ɳ ə m aː	6	2	2	2
कोणलाई	slr54	koːɳəlaːi	k oː ɳ ə l aː i	7	2	2	2
कोणसंस्थाय	slr54	koːɳəsənstʰaːjə	k oː ɳ ə s ə n s tʰ aː j ə	12	2	2	2
कोतमा	slr54	koːtəmaː	k oː t ə m aː	6	2	2	2
कोतवाल	slr54	koːtəwaːl	k oː t ə w aː l	7	2	2	2
कोत्रेखोलासम्म	slr54	koːtɾeːkʰoːlaːsʌmmə	k oː t ɾ eː kʰ oː l aː s ʌ m m ə	14	2	2	2
कोपभाजनको	slr54	koːpəbʰaːɟənəkoː	k oː p ə bʰ aː ɟ ə n ə k oː	12	2	2	2
कोपभाजनबाट	slr54	koːpəbʰaːɟənəbaːʈ	k oː p ə bʰ aː ɟ ə n ə b aː ʈ	13	2	2	2
कोप्पल	slr54	koːppəl	k oː p p ə l	6	2	2	2
कोफी	slr54	koːpʰi	k oː pʰ i	4	2	2	2
कोबाट	slr54	koːbaːʈ	k oː b aː ʈ	5	2	2	2
कोमलता	slr54	koːmələtaː	k oː m ə l ə t aː	8	2	2	2
कोमलप्रसाद	slr54	koːmələpɾəsaːd	k oː m ə l ə p ɾ ə s aː d	12	2	2	2
कोरल	slr54	koːɾəl	k oː ɾ ə l	5	2	2	2
कोरा	slr54	koːɾaː	k oː ɾ aː	4	2	2	2
कोराक	slr54	koːɾaːkə	k oː ɾ aː k ə	6	2	2	2
कोरियामासमेत	slr54	koːɾɪjaːmaːsəmeːt	k oː ɾ ɪ j aː m aː s ə m eː t	13	2	2	2
कोरेर	slr54	koːɾeːɾə	k oː ɾ eː ɾ ə	6	2	2	2
कोर्डमा	slr54	koːrrɖəmaː	k oː r r ɖ ə m aː	8	2	2	2
कोर्थे	slr54	koːrrtʰeː	k oː r r tʰ eː	6	2	2	2
कोर्दा	slr54	koːrrdaː	k oː r r d aː	6	2	2	2
कोलम्बियाको	slr54	koːləmbɪjaːkoː	k oː l ə m b ɪ j aː k oː	11	2	2	2
कोलान	slr54	koːlaːn	k oː l aː n	5	2	2	2
कोलिग्राम	slr54	koːlɪɡɾaːmə	k oː l ɪ ɡ ɾ aː m ə	9	2	2	2
कोलीयहरूका	slr54	koːlɪːjəhəɾuːkaː	k oː l ɪː j ə h ə ɾ uː k aː	12	2	2	2
कोलोराडो	slr54	koːloːɾaːɖoː	k oː l oː ɾ aː ɖ oː	8	2	2	2
कोल्टो	slr54	koːlʈoː	k oː l ʈ oː	5	2	2	2
कोल्भरको	slr54	koːlbʰəɾəkoː	k oː l bʰ ə ɾ ə k oː	9	2	2	2
कोवमा	slr54	koːwəmaː	k oː w ə m aː	6	2	2	2
कोवान	slr54	koːwaːn	k oː w aː n	5	2	2	2
कोवेन	slr54	koːweːn	k oː w eː n	5	2	2	2
कोश	slr54	koːʃ	k oː ʃ	3	2	2	2
कोसाभित्रको	slr54	koːsaːbʰɪtɾəkoː	k oː s aː bʰ ɪ t ɾ ə k oː	11	2	2	2
कोसाम्बामा	slr54	koːsaːmbaːmaː	k oː s aː m b aː m aː	9	2	2	2
कौरवहरूद्वारा	slr54	kɔːɾəwəhəɾuːdːwaːɾaː	k ɔː ɾ ə w ə h ə ɾ uː dː w aː ɾ aː	15	2	2	2
कौरवहरूबाट	slr54	kɔːɾəwəhəɾuːbaːʈ	k ɔː ɾ ə w ə h ə ɾ uː b aː ʈ	13	2	2	2
कौशलको	slr54	kɔːʃələkoː	k ɔː ʃ ə l ə k oː	8	2	2	2
कौशिकी	slr54	kɔːʃɪkiː	k ɔː ʃ ɪ k iː	6	2	2	2
क्याजुअल	slr54	kːjaːɟuəl	kː j aː ɟ u ə l	7	2	2	2
क्याथोलिकको	slr54	kːjaːtʰoːlɪkəkoː	kː j aː tʰ oː l ɪ k ə k oː	11	2	2	2
क्यानडामा	slr54	kːjaːnəɖaːmaː	kː j aː n ə ɖ aː m aː	9	2	2	2
क्यानाडा	slr54	kːjaːnaːɖaː	kː j aː n aː ɖ aː	7	2	2	2
क्यानाडामा	slr54	kːjaːnaːɖaːmaː	kː j aː n aː ɖ aː m aː	9	2	2	2
क्यान्टिनको	slr54	kːjaːnʈɪnəkoː	kː j aː n ʈ ɪ n ə k oː	10	2	2	2
क्यान्सरबाट	slr54	kːjaːnsəɾəbaːʈ	kː j aː n s ə ɾ ə b aː ʈ	11	2	2	2
क्यापेली	slr54	kːjaːpeːli	kː j aː p eː l i	7	2	2	2
क्यामरूनले	slr54	kːjaːməɾuːnəleː	kː j aː m ə ɾ uː n ə l eː	11	2	2	2
क्यामेरा	slr54	kːjaːmeːɾaː	kː j aː m eː ɾ aː	7	2	2	2
क्यामेराको	slr54	kːjaːmeːɾaːkoː	kː j aː m eː ɾ aː k oː	9	2	2	2
क्याम्पमा	slr54	kːjaːmpəmaː	kː j aː m p ə m aː	8	2	2	2
क्याम्पसहरू	slr54	kːjaːmpəsəhəɾuː	kː j aː m p ə s ə h ə ɾ uː	12	2	2	2
क्याम्पसाइटमा	slr54	kːjaːmpəsaːɪʈəmaː	kː j aː m p ə s aː ɪ ʈ ə m aː	13	2	2	2
क्यारियर	slr54	kːjaːɾɪjəɾə	kː j aː ɾ ɪ j ə ɾ ə	9	2	2	2
क्यारियरमा	slr54	kːjaːɾɪjəɾəmaː	kː j aː ɾ ɪ j ə ɾ ə m aː	11	2	2	2
क्यारियरहरू	slr54	kːjaːɾɪjəɾəhəɾuː	kː j aː ɾ ɪ j ə ɾ ə h ə ɾ uː	13	2	2	2
क्यारेट	slr54	kːjaːɾeːʈ	kː j aː ɾ eː ʈ	6	2	2	2
क्यारेबियन	slr54	kːjaːɾeːbɪjən	kː j aː ɾ eː b ɪ j ə n	10	2	2	2
क्यारेरा	slr54	kːjaːɾeːɾaː	kː j aː ɾ eː ɾ aː	7	2	2	2
क्यालसियम	slr54	kːjaːləsɪjəmə	kː j aː l ə s ɪ j ə m ə	11	2	2	2
क्यालीफोर्निया	slr54	kːjaːlɪːpʰoːrrnɪjaː	kː j aː l ɪː pʰ oː r r n ɪ j aː	13	2	2	2
क्रमलाई	slr54	kɾəməlaːi	k ɾ ə m ə l aː i	8	2	2	2
क्रमशःले	slr54	kɾəməʃʌhleː	k ɾ ə m ə ʃ ʌ h l eː	10	2	2	2
क्रमोन्नत	slr54	kɾəmoːnnət	k ɾ ə m oː n n ə t	9	2	2	2
क्रस	slr54	kɾʌs	k ɾ ʌ s	4	2	2	2
क्रिकेटको	slr54	kɾɪkeːʈəkoː	k ɾ ɪ k eː ʈ ə k oː	9	2	2	2
क्रिपर	slr54	kɾɪpəɾə	k ɾ ɪ p ə ɾ ə	7	2	2	2
क्रियाकलापलगायतका	slr54	kɾɪjaːkəlaːpələɡaːjətəkaː	k ɾ ɪ j aː k ə l aː p ə l ə ɡ aː j ə t ə k aː	21	2	2	2
क्रियाकलापलाई	slr54	kɾɪjaːkəlaːpəlaːi	k ɾ ɪ j aː k ə l aː p ə l aː i	14	2	2	2
क्रियाका	slr54	kɾɪjaːkaː	k ɾ ɪ j aː k aː	7	2	2	2
क्रियाफलको	slr54	kɾɪjaːpʰələkoː	k ɾ ɪ j aː pʰ ə l ə k oː	11	2	2	2
क्रियाबाट	slr54	kɾɪjaːbaːʈ	k ɾ ɪ j aː b aː ʈ	8	2	2	2
क्रियाशीलता	slr54	kɾɪjaːʃɪːlətaː	k ɾ ɪ j aː ʃ ɪː l ə t aː	11	2	2	2
क्रियेटिव	slr54	kɾɪjeːʈɪwə	k ɾ ɪ j eː ʈ ɪ w ə	9	2	2	2
क्रिस्टलको	slr54	kɾɪsʈələkoː	k ɾ ɪ s ʈ ə l ə k oː	10	2	2	2
क्रिस्टीआनो	slr54	kɾɪsʈɪːʲaːnoː	k ɾ ɪ s ʈ ɪː aː n oː	9	2	2	2
क्रिस्टेन	slr54	kɾɪsʈeːn	k ɾ ɪ s ʈ eː n	7	2	2	2
क्रिस्टेनसन	slr54	kɾɪsʈeːnəsən	k ɾ ɪ s ʈ eː n ə s ə n	11	2	2	2
क्रिस्टोफर	slr54	kɾɪsʈoːpʰəɾə	k ɾ ɪ s ʈ oː pʰ ə ɾ ə	10	2	2	2
क्रूसमा	slr54	kɾuːsəmaː	k ɾ uː s ə m aː	7	2	2	2
क्रैब	slr54	kɾɛːb	k ɾ ɛː b	4	2	2	2
क्रोधका	slr54	kɾoːdʰəkaː	k ɾ oː dʰ ə k aː	7	2	2	2
क्रोधी	slr54	kɾoːdʰi	k ɾ oː dʰ i	5	2	2	2
क्लबहैडको	slr54	kləbəhɛːɖəkoː	k l ə b ə h ɛː ɖ ə k oː	11	2	2	2
क्लर्कका	slr54	klʌrrkəkaː	k l ʌ r r k ə k aː	9	2	2	2
क्लव	slr54	klʌwə	k l ʌ w ə	5	2	2	2
क्लस्टरमा	slr54	klʌsʈəɾəmaː	k l ʌ s ʈ ə ɾ ə m aː	10	2	2	2
क्लाइबर्न	slr54	klaːɪbʌrrnə	k l aː ɪ b ʌ r r n ə	10	2	2	2
क्लाडोस्पोरियम	slr54	klaːɖoːspoːɾɪjəmə	k l aː ɖ oː s p oː ɾ ɪ j ə m ə	14	2	2	2
क्लार्कलाई	slr54	klaːrrkəlaːi	k l aː r r k ə l aː i	10	2	2	2
क्लार्कले	slr54	klaːrrkəleː	k l aː r r k ə l eː	9	2	2	2
क्लासकै	slr54	klaːsəkɛː	k l aː s ə k ɛː	7	2	2	2
क्लिपटाउनको	slr54	klɪpəʈaːʊnəkoː	k l ɪ p ə ʈ aː ʊ n ə k oː	12	2	2	2
क्लेन्सी	slr54	kleːnsi	k l eː n s i	6	2	2	2
क्लोनिङ	slr54	kloːnɪŋ	k l oː n ɪ ŋ	6	2	2	2
क्वाइलमा	slr54	kwaːɪləmaː	k w aː ɪ l ə m aː	8	2	2	2
क्वाटरफाइनल	slr54	kwaːʈəɾəpʰaːɪnəl	k w aː ʈ ə ɾ ə pʰ aː ɪ n ə l	13	2	2	2
क्वालालम्पुर	slr54	kwaːlaːləmpuɾə	k w aː l aː l ə m p u ɾ ə	12	2	2	2
क्विन	slr54	kwɪn	k w ɪ n	4	2	2	2
क्विन्सल्यान्डका	slr54	kwɪnsəljaːnɖəkaː	k w ɪ n s ə l j aː n ɖ ə k aː	14	2	2	2
क्विल	slr54	kwɪl	k w ɪ l	4	2	2	2
क्वीन्स	slr54	kwɪːnsə	k w ɪː n s ə	6	2	2	2
क्ष	slr54	kʂə	k ʂ ə	3	2	2	2
क्षत्रेलाई	slr54	kʂətɾeːlaːi	k ʂ ə t ɾ eː l aː i	9	2	2	2
क्षमताबाट	slr54	kʂəmətaːbaːʈ	k ʂ ə m ə t aː b aː ʈ	10	2	2	2
क्षमाशीलता	slr54	kʂəmaːʃɪːlətaː	k ʂ ə m aː ʃ ɪː l ə t aː	11	2	2	2
क्षयको	slr54	kʂʌjəkoː	k ʂ ʌ j ə k oː	7	2	2	2
क्षयरोगका	slr54	kʂəjəɾoːɡəkaː	k ʂ ə j ə ɾ oː ɡ ə k aː	11	2	2	2
क्षयरोगको	slr54	kʂəjəɾoːɡəkoː	k ʂ ə j ə ɾ oː ɡ ə k oː	11	2	2	2
क्षयरोगले	slr54	kʂəjəɾoːɡəleː	k ʂ ə j ə ɾ oː ɡ ə l eː	11	2	2	2
क्षिण	slr54	kʂɪɳ	k ʂ ɪ ɳ	4	2	2	2
क्षितिजीय	slr54	kʂɪtɪɟɪːjə	k ʂ ɪ t ɪ ɟ ɪː j ə	9	2	2	2
क्षेत्रतिर	slr54	kʂeːtɾətɪɾə	k ʂ eː t ɾ ə t ɪ ɾ ə	10	2	2	2
क्षेत्रबीच	slr54	kʂeːtɾəbɪːc	k ʂ eː t ɾ ə b ɪː c	9	2	2	2
क्षेत्रभन्दा	slr54	kʂeːtɾəbʰəndaː	k ʂ eː t ɾ ə bʰ ə n d aː	11	2	2	2
क्षेत्रमध्ये	slr54	kʂeːtɾəmədʰjeː	k ʂ eː t ɾ ə m ə dʰ j eː	11	2	2	2
क्षेत्रमाथि	slr54	kʂeːtɾəmaːtʰɪ	k ʂ eː t ɾ ə m aː tʰ ɪ	10	2	2	2
क्षेत्रलगायत	slr54	kʂeːtɾələɡaːjət	k ʂ eː t ɾ ə l ə ɡ aː j ə t	13	2	2	2
क्षेत्रहरु	slr54	kʂeːtɾəhəɾu	k ʂ eː t ɾ ə h ə ɾ u	10	2	2	2
क्षेत्राधिकारलाई	slr54	kʂeːtɾaːdʰɪkaːɾəlaːiː	k ʂ eː t ɾ aː dʰ ɪ k aː ɾ ə l aː iː	15	2	2	2
क्षेत्रानुसार	slr54	kʂeːtɾaːnusaːɾə	k ʂ eː t ɾ aː n u s aː ɾ ə	12	2	2	2
क्षेत्रिहरूको	slr54	kʂeːtɾɪhəɾuːkoː	k ʂ eː t ɾ ɪ h ə ɾ uː k oː	12	2	2	2
क्षेत्रीयहरूको	slr54	kʂeːtɾɪːjəhəɾuːkoː	k ʂ eː t ɾ ɪː j ə h ə ɾ uː k oː	14	2	2	2
क्षेत्रीसँग	slr54	kʂeːtɾɪːʃʌ̃ɡ	k ʂ eː t ɾ ɪː ʃ ʌ̃ ɡ	9	2	2	2
खओला	slr54	kʰəoːlaː	kʰ ə oː l aː	5	2	2	2
खकुरेल	slr54	kʰəkuɾeːl	kʰ ə k u ɾ eː l	7	2	2	2
खगोलविदद्वारा	slr54	kʰəɡoːləwɪdədːwaːɾaː	kʰ ə ɡ oː l ə w ɪ d ə dː w aː ɾ aː	15	2	2	2
खगोलविद्	slr54	kʰəɡoːləwɪd	kʰ ə ɡ oː l ə w ɪ d	9	2	2	2
खगोलशास्त्रअनुसार	slr54	kʰəɡoːləʃaːstɾəənusaːɾə	kʰ ə ɡ oː l ə ʃ aː s t ɾ ə ə n u s aː ɾ ə	19	2	2	2
खगोलशास्त्रीहरू	slr54	kʰəɡoːləʃaːstɾɪːhəɾuː	kʰ ə ɡ oː l ə ʃ aː s t ɾ ɪː h ə ɾ uː	16	2	2	2
खञ्जरी	slr54	kʰʌɲɟəɾiː	kʰ ʌ ɲ ɟ ə ɾ iː	7	2	2	2
खटाइएको	slr54	kʰəʈaːɪʲeːkoː	kʰ ə ʈ aː ɪ eː k oː	8	2	2	2
खट्का	slr54	kʰʌʈkaː	kʰ ʌ ʈ k aː	5	2	2	2
खडखडे	slr54	kʰʌɖəkʰəɖeː	kʰ ʌ ɖ ə kʰ ə ɖ eː	8	2	2	2
खड्गमान	slr54	kʰəɖɡəmaːn	kʰ ə ɖ ɡ ə m aː n	8	2	2	2
खण्डहरू	slr54	kʰʌɳɖəhəɾuː	kʰ ʌ ɳ ɖ ə h ə ɾ uː	9	2	2	2
खतिवडा	slr54	kʰʌtɪwəɖaː	kʰ ʌ t ɪ w ə ɖ aː	8	2	2	2
खत्तमको	slr54	kʰʌttəməkoː	kʰ ʌ t t ə m ə k oː	9	2	2	2
खत्म	slr54	kʰʌtmə	kʰ ʌ t m ə	5	2	2	2
खत्रीको	slr54	kʰətɾɪːkoː	kʰ ə t ɾ ɪː k oː	7	2	2	2
खदानहरूमा	slr54	kʰədaːnəhəɾuːmaː	kʰ ə d aː n ə h ə ɾ uː m aː	12	2	2	2
खनिउको	slr54	kʰʌnɪʲʊkoː	kʰ ʌ n ɪ ʊ k oː	7	2	2	2
खनिएका	slr54	kʰənɪʲeːkaː	kʰ ə n ɪ eː k aː	7	2	2	2
खनिएको	slr54	kʰənɪʲeːkoː	kʰ ə n ɪ eː k oː	7	2	2	2
खन्ना	slr54	kʰʌnnaː	kʰ ʌ n n aː	5	2	2	2
खन्भात	slr54	kʰənbʰaːt	kʰ ə n bʰ aː t	6	2	2	2
खन्याइदिए	slr54	kʰənjaːɪdɪʲeː	kʰ ə n j aː ɪ d ɪ eː	9	2	2	2
खपत	slr54	kʰʌpət	kʰ ʌ p ə t	5	2	2	2
खपिनसक्नु	slr54	kʰəpɪnəsʌknuʲu	kʰ ə p ɪ n ə s ʌ k n u u	12	2	2	2
खप्की	slr54	kʰʌpki	kʰ ʌ p k i	5	2	2	2
खम्पाचे	slr54	kʰəmpaːceː	kʰ ə m p aː c eː	7	2	2	2
खम्बाका	slr54	kʰəmbaːkaː	kʰ ə m b aː k aː	7	2	2	2
खम्बाचे	slr54	kʰəmbaːceː	kʰ ə m b aː c eː	7	2	2	2
खम्बामा	slr54	kʰəmbaːmaː	kʰ ə m b aː m aː	7	2	2	2
खम्बुले	slr54	kʰʌmbuleː	kʰ ʌ m b u l eː	7	2	2	2
खम्बुवानको	slr54	kʰəmbuwaːnəkoː	kʰ ə m b u w aː n ə k oː	11	2	2	2
खरको	slr54	kʰʌɾəkoː	kʰ ʌ ɾ ə k oː	6	2	2	2
खरसाङमा	slr54	kʰəɾəsaːŋəmaː	kʰ ə ɾ ə s aː ŋ ə m aː	10	2	2	2
खरानीटारमा	slr54	kʰəɾaːnɪːʈaːɾəmaː	kʰ ə ɾ aː n ɪː ʈ aː ɾ ə m aː	12	2	2	2
खराबीको	slr54	kʰəɾaːbɪːkoː	kʰ ə ɾ aː b ɪː k oː	8	2	2	2
खरी	slr54	kʰʌɾi	kʰ ʌ ɾ i	4	2	2	2
खरीको	slr54	kʰəɾɪːkoː	kʰ ə ɾ ɪː k oː	6	2	2	2
खरीदाहा	slr54	kʰəɾɪːdaːhaː	kʰ ə ɾ ɪː d aː h aː	8	2	1	1
खर्कको	slr54	kʰʌrrkəkoː	kʰ ʌ r r k ə k oː	8	2	2	2
खर्साङमा	slr54	kʰərrsaːŋəmaː	kʰ ə r r s aː ŋ ə m aː	10	2	2	1
खलङ्गालाई	slr54	kʰələŋɡaːlaːi	kʰ ə l ə ŋ ɡ aː l aː i	10	2	2	2
खलबलिएको	slr54	kʰələbəlɪʲeːkoː	kʰ ə l ə b ə l ɪ eː k oː	11	2	2	2
खसभाषामा	slr54	kʰəsəbʰaːʂaːmaː	kʰ ə s ə bʰ aː ʂ aː m aː	10	2	2	2
खसहरू	slr54	kʰʌsəhəɾuː	kʰ ʌ s ə h ə ɾ uː	8	2	2	2
खसहरूको	slr54	kʰəsəhəɾuːkoː	kʰ ə s ə h ə ɾ uː k oː	10	2	2	2
खसालेर	slr54	kʰəsaːleːɾə	kʰ ə s aː l eː ɾ ə	8	2	2	2
खसाल्नको	slr54	kʰəsaːlnəkoː	kʰ ə s aː l n ə k oː	9	2	2	2
खसि	slr54	kʰʌsɪ	kʰ ʌ s ɪ	4	2	2	2
खसेको	slr54	kʰəseːkoː	kʰ ə s eː k oː	6	2	2	2
खस्कियो	slr54	kʰʌskɪjoː	kʰ ʌ s k ɪ j oː	7	2	2	2
खहटे	slr54	kʰʌhəʈeː	kʰ ʌ h ə ʈ eː	6	2	2	2
खहरेको	slr54	kʰəhəɾeːkoː	kʰ ə h ə ɾ eː k oː	8	2	2	2
खाँडो	slr54	kʰãɖoː	kʰ ã ɖ oː	4	2	2	2
खाँदैन	slr54	kʰãdɛːnə	kʰ ã d ɛː n ə	6	2	2	2
खाइदिएपछि	slr54	kʰaːɪdɪʲeːpəcʰɪ	kʰ aː ɪ d ɪ eː p ə cʰ ɪ	10	2	2	2
खाटमुनि	slr54	kʰaːʈəmunɪ	kʰ aː ʈ ə m u n ɪ	8	2	2	2
खाडल	slr54	kʰaːɖəl	kʰ aː ɖ ə l	5	2	2	2
खाडीबाट	slr54	kʰaːɖɪːbaːʈ	kʰ aː ɖ ɪː b aː ʈ	7	2	2	2
खाडीमा	slr54	kʰaːɖɪːmaː	kʰ aː ɖ ɪː m aː	6	2	2	2
खातुनको	slr54	kʰaːtunəkoː	kʰ aː t u n ə k oː	8	2	2	2
खादवारी	slr54	kʰaːdəwaːɾi	kʰ aː d ə w aː ɾ i	8	2	2	2
खाद्यवस्तुको	slr54	kʰaːdjəwəstukoː	kʰ aː d j ə w ə s t u k oː	12	2	2	2
खाद्यसामग्री	slr54	kʰaːdjəsaːməɡɾiː	kʰ aː d j ə s aː m ə ɡ ɾ iː	12	2	2	2
खानद्वारा	slr54	kʰaːnədːwaːɾaː	kʰ aː n ə dː w aː ɾ aː	9	2	2	2
खानपिन	slr54	kʰaːnəpɪn	kʰ aː n ə p ɪ n	7	2	2	2
खानपिनमा	slr54	kʰaːnəpɪnəmaː	kʰ aː n ə p ɪ n ə m aː	10	2	2	2
खानसम्म	slr54	kʰaːnəsʌmmə	kʰ aː n ə s ʌ m m ə	9	2	2	2
खानाका	slr54	kʰaːnaːkaː	kʰ aː n aː k aː	6	2	2	2
खानालाई	slr54	kʰaːnaːlaːi	kʰ aː n aː l aː i	7	2	2	2
खानीले	slr54	kʰaːnɪːleː	kʰ aː n ɪː l eː	6	2	2	2
खानुअघि	slr54	kʰaːnuəɡʰɪ	kʰ aː n u ə ɡʰ ɪ	7	2	2	2
खानुपर्यो	slr54	kʰaːnupʌrrjoː	kʰ aː n u p ʌ r r j oː	10	2	2	2
खानुहुन्छ	slr54	kʰaːnuhuncʰə	kʰ aː n u h u n cʰ ə	9	2	2	2
खानेदेखि	slr54	kʰaːneːdeːkʰɪ	kʰ aː n eː d eː kʰ ɪ	8	2	2	2
खान्थेँ	slr54	kʰaːntʰẽ	kʰ aː n tʰ ẽ	5	2	2	2
खापर	slr54	kʰaːpəɾə	kʰ aː p ə ɾ ə	6	2	2	2
